Rank,Name,Franchise,basename,Genre,Platform,Publisher,Developer,Year,Random_Values,Estimated_Sales
30,Pokemon Ruby / Sapphire Version,Pokemon,pokmon-ruby,Role-Playing,GBA,Nintendo,Game Freak,2003.0,0.4526158156372184,16.22
31,Grand Theft Auto: Vice City,Grand Theft Auto,grand-theft-auto-vice-city,Action,PS2,Rockstar Games,Rockstar North,2002.0,0.644643438335996,16.15
32,Pokemon Sun/Moon,Pokemon,pokmon-sun,Role-Playing,3DS,Nintendo,Game Freak,2016.0,0.3861922165863646,16.14
33,Grand Theft Auto V,Grand Theft Auto,grand-theft-auto-v,Action,X360,Rockstar Games,Rockstar North,2013.0,0.2896106011764388,15.86
34,Pokemon Black / White Version,Pokemon,pokmon-black,Role-Playing,DS,Nintendo,Game Freak,2011.0,0.031611191623566626,15.64
35,Call of Duty: Black Ops 3,Call of Duty,call-of-duty-black-ops-3,Shooter,PS4,Activision,Treyarch,2015.0,0.60891848026351,15.09
36,Mario Kart 8 Deluxe,Mario,mario-kart-8-deluxe,Racing,NS,Nintendo,Nintendo EPD,2017.0,0.28193504528424607,15.02
37,Counter-Strike: Source,Counter-Strike,counter-strike-source,Shooter,PC,VU Games,Valve Software,2004.0,0.5116952808925525,15.0
38,Sonic the Hedgehog,Sonic the Hedgehog,sonic-the-hedgehog,Platform,GEN,Sega,Sonic Team,1991.0,0.15308096473064248,15.0
39,Gran Turismo 3: A-Spec,Gran Turismo,gran-turismo-3-a-spec,Racing,PS2,Sony Computer Entertainment,Polyphony Digital,2001.0,0.873533131860135,14.89
40,Brain Age 2: More Training in Minutes a Day,Brain Age,brain-age-2-more-training-in-minutes-a-day,Misc,DS,Nintendo,Nintendo SDD,2007.0,0.42121909417060466,14.88
41,Call of Duty: Modern Warfare 3,Call of Duty,call-of-duty-modern-warfare-3,Shooter,X360,Activision,Infinity Ward,2011.0,0.5141944714804495,14.82
42,Call of Duty: Black Ops,Call of Duty,call-of-duty-black-ops,Shooter,X360,Activision,Treyarch,2010.0,0.8909426953832832,14.74
43,Pokemon Yellow: Special Pikachu Edition,Pokemon,pokemon-yellow-special-pikachu-edition,Role-Playing,GB,Nintendo,Game Freak,1999.0,0.12164751779007776,14.64
44,Halo 3,Halo,halo-3,Shooter,X360,Microsoft Game Studios,Bungie Studios,2007.0,0.32147909471196146,14.5
45,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Pokemon,pokmon-omega-ruby,Role-Playing,3DS,Nintendo,Game Freak,2014.0,0.8392769743126645,14.17
46,Red Dead Redemption 2,Red Dead,red-dead-redemption-2,Action-Adventure,PS4,Rockstar Games,Rockstar Games,2018.0,0.19621412844798536,13.94
47,Call of Duty: Black Ops II,Call of Duty,call-of-duty-black-ops-ii,Shooter,X360,Activision,Treyarch,2012.0,0.6304500572748678,13.86
48,Call of Duty: Black Ops II,Call of Duty,call-of-duty-black-ops-ii,Shooter,PS3,Activision,Treyarch,2012.0,0.7738649998019894,13.8
49,Super Mario Odyssey,Mario,super-mario-odyssey,Platform,NS,Nintendo,Nintendo EPD,2017.0,0.5145987759210233,13.76
50,Call of Duty: Modern Warfare 2,Call of Duty,call-of-duty-modern-warfare-2,Shooter,X360,Activision,Infinity Ward,2009.0,0.7541609829749634,13.53
51,Call of Duty: WWII,Call of Duty,call-of-duty-wwii,Shooter,PS4,Activision,Sledgehammer Games,2017.0,0.13356666600636946,13.4
52,Call of Duty: Modern Warfare 3,Call of Duty,call-of-duty-modern-warfare-3,Shooter,PS3,Activision,Infinity Ward,2011.0,0.1737164355071611,13.35
53,Super Smash Bros. Brawl,Super Smash Bros.,super-smash-bros-brawl,Fighting,Wii,Nintendo,Project Sora,2008.0,0.8262967576391524,13.29
54,Grand Theft Auto III,Grand Theft Auto,grand-theft-auto-iii,Action,PS2,Rockstar Games,DMA Design,2001.0,0.02777580044803274,13.1
55,New Super Mario Bros. 2,Mario,new-super-mario-bros-2,Platform,3DS,Nintendo,Nintendo,2012.0,0.2294672530811912,13.08
56,Portal 2,Undefined Franchise,portal-2,Shooter,PC,Valve,Valve Software,2011.0,0.3690912152943494,13.06
57,Minecraft,Minecraft,minecraft,Misc,X360,Microsoft Studios,Mojang,2013.0,0.8814447819246299,13.0
58,Super Mario Galaxy,Mario,super-mario-galaxy,Platform,Wii,Nintendo,Nintendo EAD Tokyo,2007.0,0.504365856477874,12.78
59,Pokemon Heart Gold / Soul Silver Version,Pokemon,pokmon-heart-gold,Role-Playing,DS,Nintendo,Game Freak,2010.0,0.003828490375356597,12.72
60,Call of Duty: Black Ops,Call of Duty,call-of-duty-black-ops,Shooter,PS3,Activision,Treyarch,2010.0,0.9615620138370818,12.67
61,Grand Theft Auto V,Grand Theft Auto,grand-theft-auto-v,Action,PC,Rockstar Games,Rockstar North,2015.0,0.9780423395505765,12.6
62,Super Mario 3D Land,Mario,super-mario-3d-land,Platform,3DS,Nintendo,Nintendo EAD Tokyo,2011.0,0.8762095724335874,12.41
63,Animal Crossing: New Leaf,Animal Crossing,animal-crossing-new-leaf,Simulation,3DS,Nintendo,Nintendo EAD,2013.0,0.671939376348512,12.1
64,Super Smash Bros. Ultimate,Super Smash Bros.,super-smash-bros-ultimate,Fighting,NS,Nintendo,Bandai Namco Games,2018.0,0.20424810140394534,12.08
65,Diablo III,Diablo,diablo-iii,Role-Playing,PC,Blizzard Entertainment,Blizzard Entertainment,2012.0,0.15833636663992945,12.0
