Rank,Name,basename,Genre,Platform,Publisher,Developer,Year,Estimated_Sales
8624,Dynasty Warriors 8: Empires,dynasty-warriors-8-empires,Misc,PS4,Tecmo Koei,Omega Force,2015.0,0.21
8625,Super Robot Taisen K,super-robot-taisen-k,Strategy,DS,Namco Bandai,Banpresto,2009.0,0.21
8626,You Don't Know Jack,you-dont-know-jack,Misc,X360,THQ,"Jellyvision, Inc.",2011.0,0.21
8627,Dragon's Dogma: Dark Arisen,dragons-dogma-dark-arisen,Role-Playing,PS4,Capcom,Capcom,2017.0,0.21
8628,Mortal Kombat: Special Forces,mortal-kombat-special-forces,Fighting,PS,Midway Games,Midway Games,2000.0,0.21
8629,Tony Hawk's Motion,tony-hawks-motion,Sports,DS,Activision,Creat Studios,2008.0,0.21
8630,Kan Colle Kai,kan-colle-kai,Action,PSV,Kadokawa Games,Kadokawa Games,2016.0,0.21
8631,NCAA March Madness 07,ncaa-march-madness-07,Sports,X360,EA Sports,EA Canada,2007.0,0.21
8632,Plants vs. Zombies,plants-vs-zombies,Strategy,PS3,PopCap Games,PopCap,2011.0,0.21
8633,AI: Rampage,ai-rampage,Action,PC,,Sekerin Productions,2011.0,0.21
8634,Shin Megami Tensei: Persona 3 (jp sales),shin-megami-tensei-persona-3-jp-sales,Role-Playing,PS2,Atlus,Atlus Co.,2007.0,0.21
8635,NBA Live 18,nba-live-18,Sports,XOne,EA Sports,EA Sports,2017.0,0.21
8636,Evil Dead: Regeneration,evil-dead-regeneration,Action,PS2,THQ,Cranky Pants Games,2005.0,0.21
8637,Street Fighter x Tekken,street-fighter-x-tekken,Fighting,PSV,Capcom,Capcom,2012.0,0.21
8638,The Lord of the Rings: War in the North,the-lord-of-the-rings-war-in-the-north,Role-Playing,PC,Warner Bros. Interactive,Snowblind Studios,2011.0,0.21
8639,Defense Grid 2,defense-grid-2,Misc,PC,505 Games,,2014.0,0.21
8640,RUINER,ruiner,Shooter,PC,,Reikon Games,2014.0,0.21
8641,Disney's Planes,disneys-planes,Adventure,WiiU,Disney Interactive Studios,Behaviour Interactive,2013.0,0.21
8642,Wacky Races: Crash & Dash,wacky-races-crash-amp-dash,Racing,DS,Warner Bros. Interactive,Farmind Ltd,2008.0,0.21
8643,theHunter: Call of the Wild,thehunter-call-of-the-wild,Shooter,XOne,THQ Nordic,Expansive Worlds,2017.0,0.21
8644,NCAA Football 10,ncaa-football-10,Sports,PSP,EA Sports,EA Tiburon,2009.0,0.21
8645,Dead to Rights: Retribution,dead-to-rights-retribution,Shooter,X360,Namco Bandai,Volatile Games,2010.0,0.21
8646,The Naked Brothers Band: The Video Game,the-naked-brothers-band-the-video-game,Misc,Wii,THQ,Barking Lizards Technologies,2008.0,0.21
8647,NHL 2003,nhl-2003,Sports,XB,EA Sports,EA Canada,2002.0,0.21
8648,Tenchu: Shadow Assassins,tenchu-shadow-assassins,Action,Wii,Ubisoft,Acquire,2009.0,0.21
8649,X-Men: Children of the Atom,x-men-children-of-the-atom,Fighting,SAT,Capcom,Rutubo Games,1996.0,0.21
8650,Tiger Woods PGA Tour,tiger-woods-pga-tour,Sports,PSP,EA Sports,EA Canada,2005.0,0.21
8651,NHL 2K3,nhl-2k3,Sports,PS2,Sega,Treyarch,2002.0,0.21
8652,Yarudora Series Vol. 2: Kisetsu wo Dakishimete,yarudora-series-vol-2-kisetsu-wo-dakishimete,Adventure,PS,Sony Computer Entertainment,Sugar & Rockets,1998.0,0.21
8653,Heisei Kyouiku linkai DS,heisei-kyouiku-linkai-ds,Misc,DS,Namco Bandai,Bandai Namco Games,2006.0,0.21
8654,Discovery Kids: Pony Paradise,discovery-kids-pony-paradise,Simulation,DS,505 Games,505 Games,2009.0,0.21
8655,SpongeBob SquarePants: Game Boy Advance Video Volume 3,spongebob-squarepants-game-boy-advance-video-volume-3,Misc,GBA,Majesco,Majesco Games,2004.0,0.21
8656,Pro Yakyuu Spirits 2010,pro-yakyuu-spirits-2010,Sports,PS3,Konami,PawaPuro Production,2010.0,0.21
8657,Ampu-Tea,ampu-tea,Misc,PC,Kiss,,2014.0,0.21
8658,Final Fight One,final-fight-one,Fighting,GBA,Capcom,Capcom,2001.0,0.21
8659,Refunct,refunct,Platform,PC,,Dominique Grieshofer,2001.0,0.21
8660,Gallop Racer 2003: A New Breed,gallop-racer-2003-a-new-breed,Sports,PS2,Tecmo,Tecmo,2003.0,0.21
8661,BeyBlade VForce: Super Tournament Battle,beyblade-vforce-super-tournament-battle,Action,GC,Atari,Takara,2003.0,0.21
8662,Outlaw Golf 2,outlaw-golf-2,Sports,XB,Global Star Software,Hypnotix,2004.0,0.21
8663,LBX: Little Battlers eXperience,lbx-little-battlers-experience,Action,3DS,Nintendo,Level 5,2015.0,0.21
8664,Passpartout: The Starving Artist,passpartout-the-starving-artist,Simulation,PC,,Flamebait Games,2015.0,0.21
8665,Guardians of Middle-earth,guardians-of-middle-earth,Action,PC,,Zombie Studios,2015.0,0.21
8666,Bugs Bunny & Taz: Time Busters,bugs-bunny-amp-taz-time-busters,Adventure,PS,Infogrames,Artificial Mind and Movement,2000.0,0.21
8667,Dragon Ball Z: Sagas,dragon-ball-z-sagas,Fighting,GC,Atari,Avalanche Software,2005.0,0.21
8668,Jikkyou Powerful Pro Yakyuu 2012,jikkyou-powerful-pro-yakyuu-2012,Sports,PS3,Konami Digital Entertainment,Konami,2012.0,0.21
8669,Wedding Dash,wedding-dash,Simulation,DS,Zoo Games,PlayFirst,2009.0,0.21
8670,X2: Wolverine's Revenge,x2-wolverines-revenge,Action,XB,Activision,GenePool,2003.0,0.21
8671,Power Rangers: Wild Force,power-rangers-wild-force,Action,GBA,THQ,Natsume,2002.0,0.21
8672,Dragon Quest Monsters: Joker 3 - Professional,dragon-quest-monsters-joker-3-professional,Role-Playing,3DS,Square Enix,Square Enix,2017.0,0.2
8673,Mary-Kate and Ashley: Girls Night Out,mary-kate-and-ashley-girls-night-out,Misc,GBA,Acclaim Entertainment,Powerhead Games,2002.0,0.2
8674,The King of Fighters '95,the-king-of-fighters-95,Fighting,NG,SNK,SNK Corporation,1995.0,0.2
8675,Castlevania: Lords of Shadow 2,castlevania-lords-of-shadow-2,Action-Adventure,PS3,Konami Digital Entertainment,Mercury Steam,2014.0,0.2
8676,LEGO Harry Potter: Years 5-7,lego-harry-potter-years-5-7,Action,PSV,Warner Bros. Interactive Entertainment,Traveller's Tales,2012.0,0.2
8677,Kingdom Hearts: The Story So Far,kingdom-hearts-the-story-so-far,Role-Playing,PS4,Square Enix,Square Enix,2018.0,0.2
8678,Beyblade G-Revolution,beyblade-g-revolution,Action,GBA,Atari,Full Fat,2004.0,0.2
8679,Data Hacker: Corruption,data-hacker-corruption,Role-Playing,PC,,New Reality Games,2004.0,0.2
8680,Jillian Michaels' Fitness Adventure,jillian-michaels-fitness-adventure,Misc,X360,Majesco,n-Space,2011.0,0.2
8681,Oddworld: Abe's Oddysee New N' Tasty!,oddworld-abes-oddysee-new-n-tasty,Platform,PC,Oddworld Inhabitants,Just Add Water,2015.0,0.2
8682,Disney Art Academy,disney-art-academy,Misc,3DS,Nintendo,Headstrong Games,2016.0,0.2
8683,Trade & Battle: Card Hero,trade-amp-battle-card-hero,Strategy,GB,Nintendo,Intelligent Systems,2000.0,0.2
8684,EVE Online,eve-online,Role-Playing,PC,Simon & Schuster Interactive,CCP,2003.0,0.2
8685,World Championship Cards,world-championship-cards,Misc,PSP,Crave Entertainment,Crave Entertainment,2008.0,0.2
8686,Code of Princess,code-of-princess,Action-Adventure,3DS,Atlus,Studio Saizensen,2012.0,0.2
8687,Capcom Fighting Evolution,capcom-fighting-evolution,Fighting,PS2,Capcom,Capcom Production Studio 2,2004.0,0.2
8688,Mobile Suit Gundam: Crossfire,mobile-suit-gundam-crossfire,Simulation,PS3,Namco Bandai,Namco Bandai Games America,2006.0,0.2
8689,Godzilla (2015),godzilla-2015,Action,PS4,Namco Bandai Games,Natsume,2015.0,0.2
8690,SD Gundam GNext,sd-gundam-gnext,Strategy,SNES,Bandai,Bandai,1995.0,0.2
8691,Backyard NFL Football 2006,backyard-nfl-football-2006,Sports,PS2,Atari,Humongous Entertainment,2005.0,0.2
8692,Thrillville,thrillville,Strategy,PSP,LucasArts,Frontier Developments,2006.0,0.2
8693,NASCAR Heat 2002,nascar-heat-2002,Racing,XB,Infogrames,Monster Games Inc.,2001.0,0.2
8694,Sloane to MacHale no Nazo no Monogatari,sloane-to-machale-no-nazo-no-monogatari,Puzzle,DS,Level 5,Level 5,2009.0,0.2
8695,Skyborn,skyborn,Role-Playing,PC,,Dancing Dragon Games,2009.0,0.2
8696,Sengoku Basara 2 Heroes,sengoku-basara-2-heroes,Action,PS2,Capcom,Capcom,2007.0,0.2
8697,Buzz! The Schools Quiz,buzz-the-schools-quiz,Misc,PS2,Sony Computer Entertainment,Relentless Software,2008.0,0.2
8698,Suikoden Tactics,suikoden-tactics,Strategy,PS2,Konami,Konami,2005.0,0.2
8699,NCAA March Madness 06,ncaa-march-madness-06,Sports,XB,EA Sports,EA Canada,2005.0,0.2
8700,Pillars of Eternity II: Deadfire,pillars-of-eternity-ii-deadfire,Role-Playing,PC,Versus Evil,Obsidian Entertainment,2018.0,0.2
8701,Phantasy Star Online,phantasy-star-online,Role-Playing,DC,Sega,Sonic Team,2001.0,0.2
8702,Secret Of Magia,secret-of-magia,Role-Playing,PC,,EQ-Games,2001.0,0.2
8703,Crazy Taxi 3: High Roller,crazy-taxi-3-high-roller,Racing,XB,Sega,Hitmaker,2002.0,0.2
8704,Midnight Club 3: DUB Edition Remix,midnight-club-3-dub-edition-remix,Racing,XB,Rockstar Games,Rockstar San Diego,2006.0,0.2
8705,International Superstar Soccer 2000,international-superstar-soccer-2000,Sports,PS2,Konami,Konami Computer Entertainment Osaka,2000.0,0.2
8706,FEMINAZI: The Triggering,feminazi-the-triggering,Simulation,PC,,hyperboreanGames,2000.0,0.2
8707,CandyLand / Chutes & Ladders / Memory,candyland,Misc,GBA,DSI Games,Black Lantern Studios,2005.0,0.2
8708,Kung Fu Rider,kung-fu-rider,Action,PS3,Sony Computer Entertainment,SCE Japan Studio,2010.0,0.2
8709,The Amazing Spider-Man (2012),the-amazing-spider-man-2012,Action-Adventure,DS,Activision,Other Ocean Interactive,2012.0,0.2
8710,The Bible Game,the-bible-game,Misc,PS2,Crave Entertainment,Crave Entertainment,2005.0,0.2
8711,Major League Baseball 2K11,major-league-baseball-2k11,Sports,PS3,2K Sports,Visual Concepts,2011.0,0.2
8712,Drift King Shutokou Battle '94,drift-king-shutokou-battle-94,Racing,SNES,BPS,Genki,1994.0,0.2
8713,Shining Blade,shining-blade,Role-Playing,PSP,Sega,Media.Vision,2012.0,0.2
8714,Volgarr the Viking,volgarr-the-viking,Misc,PC,Adult Swim,Crazy Viking Studios,2013.0,0.2
8715,Need for Speed Carbon: Own the City,need-for-speed-carbon-own-the-city,Racing,DS,Electronic Arts,EA Black Box,2006.0,0.2
8716,Hard West,hard-west,Strategy,PC,,CreativeForge Games,2006.0,0.2
8717,Job Simulator,job-simulator,Simulation,PC,Owlchemy Labs,Owlchemy Labs,2016.0,0.2
8718,The Ultimate Red Ball Challenge,the-ultimate-red-ball-challenge,Misc,Wii,Mindscape,Mindscape Inc.,2009.0,0.2
8719,PBR: Out of the Chute,pbr-out-of-the-chute,Sports,PS2,Crave Entertainment,D2C Games,2008.0,0.2
8720,The King of Fighters Collection: The Orochi Saga,the-king-of-fighters-collection-the-orochi-saga,Fighting,PS2,SNK Playmore,SNK Playmore Corporation,2008.0,0.2
8721,Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial,jikkyou-powerful-pro-yakyuu-10-chou-ketteiban-2003-memorial,Sports,PS2,Konami,Diamond Head,2003.0,0.2
8722,Port Royale 3,port-royale-3,Simulation,PC,Kalypso Media,Gaming Minds Studios,2012.0,0.2
8723,Tiny Bridge: Ratventure,tiny-bridge-ratventure,Puzzle,PC,,Estelion,2012.0,0.2
8724,STARUSHKO LUB,starushko-lub,Action,PC,,,2012.0,0.2
8725,We Sing Robbie Williams,we-sing-robbie-williams,Misc,Wii,Nordic Games,Le Cortex,2010.0,0.2
8726,Enchanted Arms,enchanted-arms,Role-Playing,PS3,Ubisoft,From Software,2007.0,0.2
8727,Major League Baseball 2K12,major-league-baseball-2k12,Sports,PS3,Take-Two Interactive,"Visual Concepts, Ltd.",2012.0,0.2
8728,Saturday Night Speedway,saturday-night-speedway,Racing,PS2,Atari,Ratbag,2004.0,0.2
8729,CSI: Deadly Intent,csi-deadly-intent,Adventure,X360,Ubisoft,Telltale Games,2009.0,0.2
8730,Bratz: Rock Angelz,bratz-rock-angelz,Misc,GC,THQ,Blitz Games,2005.0,0.2
8731,Langrisser III,langrisser-iii,Strategy,SAT,NCS,NCS,1996.0,0.2
8732,MLB SlugFest 20-03,mlb-slugfest-20-03,Sports,XB,Midway Games,Gratuitous Games,2002.0,0.2
8733,Samurai Spirits (CD),samurai-spirits-cd,Fighting,NG,SNK,SNK Corporation,1994.0,0.2
8734,Earth Defense Force 4.1: The Shadow of New Despair,earth-defense-force-41-the-shadow-of-new-despair,Shooter,PC,D3Publisher,Sandlot,2016.0,0.2
8735,Eagle Flight,eagle-flight,Adventure,PS4,Ubisoft,Ubisoft,2016.0,0.2
8736,Dwarfs!?,dwarfs,Strategy,PC,Tripwire Interactive,Power of 2,2011.0,0.2
8737,Pitfall: The Lost Expedition,pitfall-the-lost-expedition,Platform,PS2,Activision,Edge of Reality,2004.0,0.2
8738,Deal or No Deal: The Banker is Back!,deal-or-no-deal-the-banker-is-back,Misc,DS,Mindscape,Mindscape,2008.0,0.2
8739,From TV Animation One Piece: Grand Battle! 3,from-tv-animation-one-piece-grand-battle-3,Fighting,GC,Bandai,Ganbarion,2003.0,0.2
8740,Rocket Power: Zero Gravity Zone,rocket-power-zero-gravity-zone,Sports,GBA,THQ,Altron,2003.0,0.2
8741,Le Mans 24 Hours,le-mans-24-hours,Racing,PS2,Infogrames,Melbourne House Pty Ltd.,2001.0,0.2
8742,ESPN MLB Baseball,espn-mlb-baseball,Sports,PS2,Sega,Blue Shift,2004.0,0.2
8743,Shrek: Forever After,shrek-forever-after,Platform,PS3,Activision,XPEC Entertainment Inc.,2010.0,0.2
8744,Divekick,divekick,Misc,PC,Namco Networks America Inc.,Namco Networks America Inc.,2013.0,0.2
8745,All Star Pro-Wrestling,all-star-pro-wrestling,Fighting,PS2,Square,SquareSoft,2000.0,0.2
8746,Dragon Ball Z: Harukanaru Densetsu,dragon-ball-z-harukanaru-densetsu,Role-Playing,DS,Atari,Bec,2007.0,0.2
8747,Dark Messiah of Might and Magic Elements,dark-messiah-of-might-and-magic-elements,Role-Playing,X360,Ubisoft,Arkane Studios / Floodgate Entertainment / Kuju Entertainment,2008.0,0.2
8748,Wizards of Waverly Place: Spellbound,wizards-of-waverly-place-spellbound,Misc,DS,Disney Interactive Studios,Sarbakan Inc.,2010.0,0.2
8749,Shaun White Skateboarding,shaun-white-skateboarding,Sports,PS3,Ubisoft,Ubisoft Montreal,2010.0,0.2
8750,WRC: FIA World Rally Championship,wrc-fia-world-rally-championship,Racing,PS3,Namco Bandai,Milestone S.r.l,2010.0,0.2
8751,Harvest Moon: More Friends of Mineral Town,harvest-moon-more-friends-of-mineral-town,Simulation,GBA,Natsume,TOSE Software,2005.0,0.2
8752,Infinite Space,infinite-space,Role-Playing,DS,Sega,PlatinumGames / Nude Maker,2010.0,0.2
8753,The Fairly Odd Parents: Shadow Showdown,the-fairly-odd-parents-shadow-showdown,Platform,GC,THQ,Blitz Games,2004.0,0.2
8754,Planet 51,planet-51,Action,Wii,Sega,Pyro Studios,2009.0,0.2
8755,DanceMasters,dancemasters,Misc,X360,Konami,GCP1,2010.0,0.2
8756,Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono,mobile-suit-gundam-side-story-ii-aoi-o-uketsugu-mono,Shooter,SAT,Bandai,Bec,1996.0,0.2
8757,Black Panther 2: Yakuza Ashura Chapter,black-panther-2-yakuza-ashura-chapter,Adventure,PSP,Sega,Sega,2012.0,0.2
8758,Just Dance: Greatest Hits,just-dance-greatest-hits,Music,Wii,Ubisoft,Ubisoft Paris,2012.0,0.2
8759,DarkStar One: Broken Alliance,darkstar-one-broken-alliance,Simulation,X360,Kalypso,Gaming Minds Studios,2010.0,0.2
8760,NBA 2K2,nba-2k2,Sports,XB,Sega,Visual Concepts,2002.0,0.2
8761,X2: Wolverine's Revenge,x2-wolverines-revenge,Platform,GBA,Activision,Vicarious Visions,2003.0,0.2
8762,Teenage Mutant Ninja Turtles: Danger of the Ooze,teenage-mutant-ninja-turtles-danger-of-the-ooze,Platform,X360,Activision,WayForward Technologies,2014.0,0.2
8763,7th Dragon 2020,7th-dragon-2020,Role-Playing,PSP,Sega,imageepoch Inc.,2011.0,0.2
8764,Cars,cars,Racing,XB,THQ,Rainbow Studios,2006.0,0.2
8765,Dragon Ball: Revenge of King Piccolo,dragon-ball-revenge-of-king-piccolo,Action,Wii,Namco Bandai,Bandai Namco Games,2009.0,0.2
8766,Taiko no Tatsujin: Waku Waku Anime Matsuri,taiko-no-tatsujin-waku-waku-anime-matsuri,Misc,PS2,Namco,Namco,2003.0,0.2
8767,Spy Hunter,spy-hunter,Racing,GC,Midway Games,Point of View,2002.0,0.2
8768,Dead to Rights II,dead-to-rights-ii,Shooter,PS2,Namco,WideScreen Games,2005.0,0.2
8769,Super Dodge Ball Advance,super-dodge-ball-advance,Sports,GBA,Atlus,Atlus Co.,2001.0,0.2
8770,Ogre Battle Saga Episode Five: The March of the Black Queen,ogre-battle-saga-episode-five-the-march-of-the-black-queen,Role-Playing,PS,Atlus,Quest Corporation,1997.0,0.2
8771,Apache: Air Assault,apache-air-assault,Simulation,PS3,Activision,Gaijin Entertainment,2010.0,0.2
8772,"Ni Hao, Kai-lan: New Year's Celebration"," kai-lan new years celebration""",Misc,DS,2K Play,Black Lantern Studios,2009.0,0.2
8773,MLB 12: The Show,mlb-12-the-show,Sports,PSV,Sony Computer Entertainment,SCE San Diego Studio,2012.0,0.2
8774,Body and Brain Connection,body-and-brain-connection,Misc,X360,Namco Bandai,Namco Bandai Games,2011.0,0.2
8775,HardCube,hardcube,Platform,PC,,LEVER Software,2011.0,0.2
8776,MDK,mdk,Shooter,PS,Playmates,Shiny Entertainment,1998.0,0.2
8777,Russian Horror Story,russian-horror-story,Visual Novel,PC,,Footmade,1998.0,0.2
8778,Monster Jam,monster-jam,Racing,X360,Activision,Torus Games,2007.0,0.2
8779,Rock Band Track Pack: Classic Rock,rock-band-track-pack-classic-rock,Misc,PS2,MTV Games,Harmonix Music Systems,2009.0,0.2
8780,Ty the Tasmanian Tiger 2: Bush Rescue,ty-the-tasmanian-tiger-2-bush-rescue,Platform,GC,Electronic Arts,Krome Studios,2004.0,0.2
8781,Sniper: Ghost Warrior 2,sniper-ghost-warrior-2,Shooter,X360,City Interactive,City Interactive,2013.0,0.2
8782,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,hidden-mysteries-titanic-secrets-of-the-fateful-voyage,Adventure,Wii,Activision,Gunnar Games,2009.0,0.2
8783,Speed Punks,speed-punks,Racing,PS,Sony Computer Entertainment,Fucom,2000.0,0.2
8784,3rd Super Robot Wars Z: Tengoku-Hen,3rd-super-robot-wars-z-tengoku-hen,Action,PSV,Namco Bandai Games,Banpresto,2015.0,0.2
8785,Cabela's Survival: Shadows of Katmai,cabelas-survival-shadows-of-katmai,Sports,Wii,Activision,Activision,2011.0,0.2
8786,The Legend of Heroes: Ao no Kiseki,the-legend-of-heroes-ao-no-kiseki,Role-Playing,PSP,Falcom Corporation,Nihon Falcom Corporation,2011.0,0.2
8787,Clive Barker's Jericho,clive-barkers-jericho,Shooter,PS3,Codemasters,Mercury Steam / Alchemic Productions,2007.0,0.2
8788,Warriors Orochi,warriors-orochi,Action,PSP,KOEI,Omega Force / Koei Canada,2008.0,0.2
8789,MVP Baseball 2003,mvp-baseball-2003,Sports,XB,EA Sports,EA Sports,2003.0,0.2
8790,Earth Defense Force: Insect Armageddon,earth-defense-force-insect-armageddon,Shooter,PS3,D3 Publisher,Vicious Cycle,2011.0,0.2
8791,NCAA Final Four 2004,ncaa-final-four-2004,Sports,PS2,Sony Computer Entertainment,989 Sports,2003.0,0.2
8792,NBA 07,nba-07,Sports,PSP,Sony Computer Entertainment,SCE San Diego Studio,2006.0,0.2
8793,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe"," the witch and the wardrobe""",Adventure,XB,Buena Vista,Traveller's Tales,2005.0,0.2
8794,Body Harvest,body-harvest,Shooter,N64,Midway Games,DMA Design,1998.0,0.2
8795,Disney's Tarzan,disneys-tarzan,Platform,N64,Activision,Eurocom Entertainment Software,2000.0,0.2
8796,Famista 64,famista-64,Sports,N64,,Namco,2000.0,0.2
8797,Gothic,gothic,Role-Playing,PC,Xicat Interactive,Piranha Bytes,2001.0,0.2
8798,Gothic II,gothic-ii,Role-Playing,PC,Atari,Piranha Bytes,2003.0,0.2
8799,J-League Pro Soccer Club o Tsukurou! 7 Euro Plus,j-league-pro-soccer-club-o-tsukurou-7-euro-plus,Sports,PSP,Sega,Sega,2011.0,0.2
8800,Magical Tetris Challenge,magical-tetris-challenge,Puzzle,N64,Capcom,Capcom,1998.0,0.2
8801,Phantasy Star Universe,phantasy-star-universe,Role-Playing,PS2,Sega,Sonic Team,2006.0,0.2
8802,Rise of Nightmares,rise-of-nightmares,Action,X360,Sega,Sega,2011.0,0.2
8803,Roadsters 99,roadsters-99,Racing,N64,Titus,,1999.0,0.2
8804,San Francisco Rush 2049,san-francisco-rush-2049,Racing,N64,Midway Games,Midway Games,2000.0,0.2
8805,Snowboard Kids,snowboard-kids,Sports,N64,Atlus,Racdym,1997.0,0.2
8806,South Park Rally,south-park-rally,Racing,N64,Acclaim Entertainment,Tantalus Interactive,2000.0,0.2
8807,Super Robot Taisen 64,super-robot-taisen-64,Strategy,N64,Banpresto,Banpresto,1999.0,0.2
8808,Tigger's Honey Hunt,tiggers-honey-hunt,Platform,N64,NewKidCo,Rivage Games,2000.0,0.2
8809,Twisted Edge Extreme Snowboarding,twisted-edge-extreme-snowboarding,Sports,N64,Midway Games,Boss Game Studios,1998.0,0.2
8810,IHRA Drag Racing 2004,ihra-drag-racing-2004,Racing,XB,Bethesda Softworks,Bethesda Softworks,2003.0,0.2
8811,Treasure World,treasure-world,Simulation,DS,Aspyr,Aspyr,2009.0,0.2
8812,Alien Breed: Impact,alien-breed-impact,Shooter,PC,Team17 Software,Team17 Software,2010.0,0.2
8813,Shining Hearts,shining-hearts,Role-Playing,PSP,Sega,Sega,2010.0,0.2
8814,SingStar: Back to the 80s,singstar-back-to-the-80s,Misc,PS3,Sony Computer Entertainment,SCEE London Studio,2011.0,0.2
8815,Marvel: Ultimate Alliance 2,marvel-ultimate-alliance-2,Role-Playing,DS,Activision,n-Space,2009.0,0.2
8816,Sid Meier's Pirates!,sid-meiers-pirates,Strategy,PSP,2K Games,Full Fat,2007.0,0.2
8817,Cabela's North American Adventures,cabelas-north-american-adventures,Sports,Wii,Activision,Activision,2010.0,0.2
8818,Front Mission Evolved,front-mission-evolved,Shooter,X360,Square Enix,Double Helix Games,2010.0,0.2
8819,Jissen Pachi-Slot Hisshouhou! Aladdin A,jissen-pachi-slot-hisshouhou-aladdin-a,Misc,PS2,Sammy Corporation,Sammy Studios,2002.0,0.2
8820,Ford Racing Off Road,ford-racing-off-road,Racing,PS2,Strategy First,Razorworks Studios,2008.0,0.2
8821,Namco Museum: 50th Anniversary,namco-museum-50th-anniversary,Misc,GBA,Namco,Digital Eclipse,2005.0,0.2
8822,Nobunaga no Yabou: Reppuuden,nobunaga-no-yabou-reppuuden,Strategy,PS,KOEI,Koei/Inis,1999.0,0.2
8823,Resident Evil Zero,resident-evil-zero,Action-Adventure,PC,Capcom,Capcom,2016.0,0.2
8824,Snowman,snowman,Action,PC,,,2016.0,0.2
8825,The Room Two,the-room-two,Adventure,PC,Fireproof Games,Fireproof Games,2016.0,0.2
8826,Ashes Cricket 2009,ashes-cricket-2009,Sports,X360,Codemasters,Transmission Games,2009.0,0.2
8827,The BIGS 2,the-bigs-2,Sports,PS2,2K Sports,Blue Castle Games,2009.0,0.2
8828,Sleeping Dogs: Definitive Edition,sleeping-dogs-definitive-edition,Action-Adventure,XOne,Square Enix,United Front Games,2014.0,0.2
8829,Project CARS 2,project-cars-2,Racing,XOne,Namco Bandai Games,Slightly Mad Studios,2017.0,0.2
8830,Press Your Luck 2010 Edition,press-your-luck-2010-edition,Misc,DS,Ubisoft,Ludia Inc.,2009.0,0.2
8831,Mat Hoffman's Pro BMX 2,mat-hoffmans-pro-bmx-2,Sports,XB,Activision,Rainbow Studios,2002.0,0.2
8832,Treasure Hunter G,treasure-hunter-g,Role-Playing,SNES,Square,Sting,1996.0,0.2
8833,From Russia With Love,from-russia-with-love,Action,XB,Electronic Arts,EA Redwood Shores,2005.0,0.2
8834,Wing Arms,wing-arms,Shooter,SAT,Sega,Sega,1995.0,0.2
8835,Marvel Super Hero Squad: Comic Combat,marvel-super-hero-squad-comic-combat,Action,PS3,THQ,THQ,2011.0,0.2
8836,Space Pilgrim Episode I: Alpha Centauri,space-pilgrim-episode-i-alpha-centauri,Adventure,PC,GrabTheGames,Pilgrim Adventures,2015.0,0.2
8837,Full Mojo Rampage,full-mojo-rampage,Misc,PC,Over The Top Games,,2014.0,0.2
8838,Pro Yakyuu Spirits 2013,pro-yakyuu-spirits-2013,Sports,PS3,Konami Digital Entertainment,Konami,2013.0,0.2
8839,Titanfall 2,titanfall-2,Shooter,PC,Electronic Arts,Respawn Entertainment,2016.0,0.2
8840,Cabela's Big Game Hunter (2008),cabelas-big-game-hunter-2008,Sports,PS2,Activision,Sand Grain Studios,2007.0,0.2
8841,Record of Agarest War,record-of-agarest-war,Role-Playing,X360,Aksys Games,Compile Heart,2010.0,0.2
8842,Ridge Racer 6,ridge-racer-6,Racing,X360,Namco,Namco,2005.0,0.2
8843,The Cheetah Girls: Passport to Stardom,the-cheetah-girls-passport-to-stardom,Misc,DS,Disney Interactive Studios,Handheld Games,2008.0,0.2
8844,Grandia II,grandia-ii,Role-Playing,DC,Ubisoft,Game Arts,2000.0,0.2
8845,Just Hero,just-hero,Platform,PC,,Anatoliy Loginovskikh,2000.0,0.2
8846,Namco Museum Vol.4,namco-museum-vol4,Misc,PS,Namco,Namco,1997.0,0.2
8847,Classic NES Series: Ice Climber,classic-nes-series-ice-climber,Platform,GBA,Nintendo,Nintendo,2004.0,0.2
8848,Neighborhood Games,neighborhood-games,Misc,Wii,THQ,Jet Black Games,2009.0,0.2
8849,Shark Tale,shark-tale,Action,XB,Activision,Edge of Reality,2004.0,0.2
8850,UFC Personal Trainer: The Ultimate Fitness System,ufc-personal-trainer-the-ultimate-fitness-system,Sports,Wii,THQ,THQ,2011.0,0.2
8851,NFL Street 2,nfl-street-2,Sports,GC,EA Sports BIG,EA Tiburon,2004.0,0.2
8852,Atelier Shallie: Alchemists of the Dusk Sea,atelier-shallie-alchemists-of-the-dusk-sea,Role-Playing,PS3,Tecmo Koei,Gust,2015.0,0.2
8853,God Eater Resurrection,god-eater-resurrection,Action,PSV,Namco Bandai Games,Namco Bandai Games,2016.0,0.2
8854,Pro Yakyuu Spirits 2013,pro-yakyuu-spirits-2013,Sports,PSP,Konami Digital Entertainment,Konami,2013.0,0.2
8855,My Secret World by Imagine,my-secret-world-by-imagine,Misc,DS,Ubisoft,Ubisoft,2008.0,0.2
8856,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,teenage-mutant-ninja-turtles-3-mutant-nightmare,Action,PS2,Konami,Konami,2005.0,0.2
