,Year,Franchise,Genre,Platform,Publisher,Developer
2688,2014,Assassin's Creed,Action,XOne,Ubisoft,Ubisoft Montreal
2689,2002,Undefined Franchise,Sports,XB,Sega,07th Expansion
2690,2011,Tom Clancy's,Strategy,3DS,Ubisoft,Ubisoft
2691,2008,Undefined Franchise,Shooter,Wii,Activision,Magic Wand Productions
2692,2007,Medal of Honor,Shooter,Wii,Electronic Arts,EA Los Angeles
2693,2011,Destiny,Action,DS,Activision,Other Ocean Interactive
2694,2017,Undefined Franchise,Simulation,PS4,Soedesco,Triangle Studios
2695,2016,Undefined Franchise,Role-Playing,PC,Namco Bandai Games,Namco Bandai Games
2696,2010,Undefined Franchise,Adventure,Wii,Asylum Entertainment,Asylum Entertainment
2697,2017,Undefined Franchise,Racing,PS4,Maximum Games,Team 6 Games Studio
2698,2005,Undefined Franchise,Sports,PS2,Midway Games,Midway Games
2699,2002,Undefined Franchise,Racing,XB,Majesco,Rage Software
2700,2012,Undefined Franchise,Sports,PS3,Take-Two Interactive,"Visual Concepts, Ltd."
2701,2006,Undefined Franchise,Sports,PS2,Konami,PawaPuro Production
2702,2011,Undefined Franchise,Misc,X360,Majesco,n-Space
2703,2011,Undefined Franchise,Fighting,PS2,THQ,THQ
2704,2007,Undefined Franchise,Sports,PS3,Konami,PawaPuro Production
2705,2010,Undefined Franchise,Role-Playing,PC,Atari,Cryptic Studios
2706,2018,Street Fighter,Fighting,XOne,Capcom,Capcom
2707,2014,Gundam,Action,PS3,Namco Bandai Games,Namco Bandai Games
2708,2007,Pro Evolution Soccer,Sports,PS2,Konami,Konami Computer Entertainment Tokyo
2709,2006,Undefined Franchise,Racing,XB,Rockstar Games,Rockstar San Diego
2710,1993,Undefined Franchise,Simulation,SNES,04-Aug,Tomcat System
2711,1993,Mega Man,Platform,GB,Capcom,Capcom
2712,2007,Spider-Man,Action,PC,Activision,Beenox
2713,2006,Sonic the Hedgehog,Platform,X360,Sega,Sonic Team
2714,2010,Undefined Franchise,Sports,PS3,Sony Computer Entertainment,07th Expansion
2715,2013,Undefined Franchise,Misc,PSP,04-Aug,nan
2716,2010,Undefined Franchise,Misc,PS3,Electronic Arts,EA Bright Light
2717,2003,Dynasty Warriors,Action,XB,KOEI,Omega Force
2718,2013,Undefined Franchise,Simulation,PC,Headup Games,Headup Games
2719,2007,Undefined Franchise,Simulation,DS,Ubisoft,DTP Entertainment
2720,2009,Undefined Franchise,Action,DS,Eidos Interactive,IO Interactive
2721,2010,Undefined Franchise,Role-Playing,DS,Enterbrain,Crea-Tech
2722,2006,Undefined Franchise,Adventure,PC,04-Aug,07th Expansion
2723,2011,Undefined Franchise,Misc,DS,Zoo Games,Zoo Games
2724,2011,Undefined Franchise,Platform,PC,nan,07th Expansion
2725,2017,Undefined Franchise,Visual Novel,PS4,Sprite,Sprite
2726,2005,Undefined Franchise,Adventure,GBA,"Destination Software, Inc",Zuxxez
2727,2003,NBA Live,Sports,XB,EA Sports,EA Canada
2728,2011,Undefined Franchise,Puzzle,DS,GSP,Avanquest Software
2729,2013,Undefined Franchise,Strategy,PC,2K Games,Firaxis Games
2730,1978,Undefined Franchise,Puzzle,2600,Atari,Atari
2731,2013,BioShock,Shooter,PC,2K Games,Irrational Games
2732,2002,Undefined Franchise,Shooter,PC,Atari,07th Expansion
2733,2018,Undefined Franchise,Party,PS4,Wired Productions,07th Expansion
2734,2009,Undefined Franchise,Racing,X360,Conspiracy Entertainment,Milestone
2735,2010,Undefined Franchise,Misc,X360,Electronic Arts,EA Bright Light
2736,2002,Undefined Franchise,Strategy,PS2,Banpresto,Banpresto
2737,2002,Undefined Franchise,Strategy,PS2,KOEI,Koei
2738,2001,Undefined Franchise,Simulation,PS2,Konami,Konami
2739,2009,Undefined Franchise,Puzzle,Wii,Neko Entertainment,EKO System
2740,2016,Undefined Franchise,Misc,PS4,Sony Interactive Entertainment,SIE London Studio
2741,2001,Undefined Franchise,Simulation,PC,Microsoft,Kuju Entertainment
2742,2016,Undefined Franchise,Shooter,PC,nan,07th Expansion
2743,2007,Gundam,Shooter,PSP,Namco Bandai,Capcom
2744,2009,Undefined Franchise,Racing,DS,Zoo Games,EM Studios
2745,2008,Undefined Franchise,Sports,DS,Take-Two Interactive,Deep Fried Entertainment
2746,1996,Undefined Franchise,Simulation,PS,Electronic Arts,EA Tiburon
2747,2008,Tom Clancy's,Shooter,PS3,Ubisoft,Ubisoft Montreal
2748,2003,Undefined Franchise,Action,GBA,Vivendi Games,Digital Illusions
2749,2007,Undefined Franchise,Misc,Wii,Ubisoft,Sensory Sweep Studios
2750,2018,Undefined Franchise,Role-Playing,PS4,NIS America,Nippon Ichi Software
2751,1993,Undefined Franchise,Sports,GEN,Arena Entertainment,Iguana Entertainment
2752,2008,Undefined Franchise,Sports,PS2,THQ,Yuke's Media Creations
