Rank,Name,basename,Platform,Publisher,Developer,Year,Estimated_Sales
214,Super Mario Advance 4: Super Mario Bros. 3,super-mario-advance-4-super-mario-bros-3,GBA,Nintendo,Nintendo EAD,2003.0,5.43
215,Crash Bandicoot: The Wrath of Cortex,crash-bandicoot-the-wrath-of-cortex,PS2,Universal Interactive,Traveller's Tales,2001.0,5.42
216,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,2015.0,5.39
217,Final Fantasy XIII,final-fantasy-xiii,PS3,Square Enix,Square Enix,2010.0,5.35
218,Gran Turismo 5 Prologue,gran-turismo-5-prologue,PS3,Sony Computer Entertainment,Polyphony Digital,2008.0,5.35
219,Super Smash Bros. for Wii U,super-smash-bros-for-wii-u,WiiU,Nintendo,Bandai Namco Games,2014.0,5.35
220,Dr. Mario,dr-mario,GB,Nintendo,Nintendo R&D1,1990.0,5.34
221,Assassin's Creed III,assassins-creed-iii,X360,Ubisoft,Ubisoft Montreal,2012.0,5.31
222,Pokemon Pinball,pokemon-pinball,GBC,Nintendo,Jupiter Corporation,1999.0,5.31
223,Assassin's Creed II,assassins-creed-ii,X360,Ubisoft,Ubisoft Montreal,2009.0,5.3
224,Super Mario Party,super-mario-party,NS,Nintendo,"Nd Cube Co., Ltd.",2018.0,5.3
225,The Forest,the-forest,PC,Endnight Games Ltd,Endnight Games Ltd,2014.0,5.3
226,Donkey Kong 64,donkey-kong-64,N64,Nintendo,Rare Ltd.,1999.0,5.27
227,Just Dance 2,just-dance-2,Wii,Ubisoft,Ubisoft Paris,2010.0,5.25
228,Tomb Raider II,tomb-raider-ii,PS,Eidos Interactive,Core Design Ltd.,1997.0,5.24
229,Madden NFL 2004,madden-nfl-2004,PS2,EA Sports,EA Tiburon,2003.0,5.23
230,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,XOne,Activision,Sledgehammer Games,2014.0,5.22
231,Fallout: New Vegas,fallout-new-vegas,PC,Bethesda Softworks,Obsidian Entertainment,2010.0,5.22
232,Gran Turismo 6,gran-turismo-6,PS3,Sony Computer Entertainment America,Polyphony Digital,2013.0,5.22
233,Kingdom Hearts II,kingdom-hearts-ii,PS2,Square Enix,Square Enix,2006.0,5.2
234,God of War III,god-of-war-iii,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,2010.0,5.2
235,Nintendo Land,nintendo-land,WiiU,Nintendo,Nintendo,2012.0,5.19
236,Super Mario Land 3: Wario Land,super-mario-land-3-wario-land,GB,Nintendo,Nintendo R&D1,1994.0,5.19
237,Donkey Kong Country 2: Diddy's Kong Quest,donkey-kong-country-2-diddys-kong-quest,SNES,Nintendo,Rare Ltd.,1995.0,5.15
238,Medal of Honor: Rising Sun,medal-of-honor-rising-sun,PS2,Electronic Arts,EA Los Angeles,2003.0,5.13
239,Battlefield 1,battlefield-1,XOne,Electronic Arts,EA DICE,2016.0,5.13
240,Kirby's Dream Land,kirbys-dream-land,GB,Nintendo,HAL Laboratory,1992.0,5.13
241,Microsoft Flight Simulator,microsoft-flight-simulator,PC,Microsoft,Microsoft,1996.0,5.12
242,Guitar Hero II,guitar-hero-ii,PS2,RedOctane,Harmonix Music Systems,2006.0,5.12
243,FIFA 13,fifa-13,X360,EA Sports,EA Canada,2012.0,5.11
244,Resident Evil 5,resident-evil-5,PS3,Capcom,Capcom,2009.0,5.1
245,Fable III,fable-iii,X360,Microsoft Game Studios,Lionhead Studios,2010.0,5.1
246,Mario & Sonic at the Olympic Games,mario-amp-sonic-at-the-olympic-games,DS,Sega,Sega,2008.0,5.1
247,Grand Theft Auto: Vice City Stories,grand-theft-auto-vice-city-stories,PSP,Rockstar Games,Rockstar Leeds,2006.0,5.08
248,FIFA Soccer 11,fifa-soccer-11,PS3,EA Sports,EA Canada,2010.0,5.08
249,Super Mario Bros. Deluxe,super-mario-bros-deluxe,GB,Nintendo,Nintendo EAD,1999.0,5.07
250,Final Fantasy XV,final-fantasy-xv,PS4,Square Enix,Square Enix,2016.0,5.07
251,Fallout 4,fallout-4,XOne,Bethesda Softworks,Bethesda Game Studios,2015.0,5.03
252,Tony Hawk's Pro Skater,tony-hawks-pro-skater,PS,Activision,Neversoft Entertainment,1999.0,5.02
253,Warzone 2100,warzone-2100,PS,Eidos Interactive,Pumpkin Studios,1999.0,5.01
254,Spyro the Dragon,spyro-the-dragon,PS,Sony Computer Entertainment,Insomniac Games,1998.0,5.0
255,Cities: Skylines,cities-skylines,PC,Paradox Interactive,Colossal Order,2015.0,5.0
256,Gears of War,gears-of-war,X360,Microsoft Game Studios,Epic Games,2006.0,5.0
257,Gears of War 2,gears-of-war-2,X360,Microsoft Game Studios,Epic Games,2008.0,5.0
258,Guild Wars 2,guild-wars-2,PC,NCSoft,ArenaNet,2012.0,5.0
259,Halo 5: Guardians,halo-5-guardians,XOne,Microsoft Studios,343 Industries,2015.0,5.0
260,Halo: Combat Evolved,halo-combat-evolved,XB,Microsoft,Bungie Studios,2001.0,5.0
261,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,PS2,RedOctane,BudCat Creations,2007.0,4.98
262,Uncharted: Drake's Fortune,uncharted-drakes-fortune,PS3,Sony Computer Entertainment,Naughty Dog,2007.0,4.97
263,Resident Evil 2,resident-evil-2,PS,Capcom,Capcom,1998.0,4.96
264,Fallout 3,fallout-3,X360,Bethesda Softworks,Bethesda Game Studios,2008.0,4.96
265,Splatoon,splatoon,WiiU,Nintendo,Nintendo EAD,2015.0,4.94
266,Madden NFL 06,madden-nfl-06,PS2,EA Sports,EA Tiburon,2005.0,4.91
