Rank,Name,basename,Platform,Publisher,Developer,Year,Estimated_Sales
17429,World Series of Poker 2008: Battle for the Bracelets,world-series-of-poker-2008-battle-for-the-bracelets,PSP,Activision,Left Field Productions,2007.0,0.02
17430,Ghost Pirates of Vooju Island,ghost-pirates-of-vooju-island,PC,DTP Entertainment,Autumn Moon,2009.0,0.02
17431,Zero Escape The Nonary Games,zero-escape-the-nonary-games,PSV,Aksys Games,Spike Chunsoft,2017.0,0.02
17432,Bottom of the 9th '97,bottom-of-the-9th-97,PS,Konami,Konami,1997.0,0.02
17433,G1 Jockey Wii,g1-jockey-wii,Wii,KOEI,Koei/Inis,2007.0,0.02
17434,Shaman King: Chou Senjiryokketsu 3,shaman-king-chou-senjiryokketsu-3,GBA,King Records,Studio Saizensen,2002.0,0.02
17435,Line Rider 2: Unbound,line-rider-2-unbound,Wii,"Genius Products, Inc.",InXile Entertainment,2008.0,0.02
17436,Demigod,demigod,PC,Atari,Gas Powered Games,2009.0,0.02
17437,HatsuKare * Renai Debut Sengen!,hatsukare-renai-debut-sengen,PSP,FuRyu Corporation,,2013.0,0.02
17438,Warhammer Online: Age of Reckoning,warhammer-online-age-of-reckoning,PC,Electronic Arts,Mythic,2008.0,0.02
17439,Phantasy Star Online 2 Episode 4: Deluxe Package,phantasy-star-online-2-episode-4-deluxe-package,PSV,Sega,Sega,2017.0,0.02
17440,Stronghold 2 Deluxe,stronghold-2-deluxe,PC,2K Games,FireFly Studios,2005.0,0.02
17441,Super Run For Money Tousouchuu & Sentouchuu,super-run-for-money-tousouchuu-amp-sentouchuu,NS,Bandai Namco Games,Bandai Namco Games,2018.0,0.02
17442,Kingdom: Ikkitousen no Ken,kingdom-ikkitousen-no-ken,PSP,Konami,Konami,2010.0,0.02
17443,L.A. Noire: The Complete Edition,la-noire-the-complete-edition,PS3,Rockstar Games,Rockstar Leeds,2011.0,0.02
17444,Rapala for Kinect,rapala-for-kinect,X360,Activision,Activision,2011.0,0.02
17445,Wrestle Kingdom 2: Pro Wrestling Sekai Taisen,wrestle-kingdom-2-pro-wrestling-sekai-taisen,PS2,Yuke's,Yuke's Future Media Creators,2007.0,0.02
17446,Dynamic Chord feat. Reve Parfait: V Edition,dynamic-chord-feat-reve-parfait-v-edition,PSV,honeybee,,2016.0,0.02
17447,Totally Spies! 2: Undercover,totally-spies-2-undercover,DS,Atari,Mistic Software,2006.0,0.02
17448,Bomberman Story DS,bomberman-story-ds,DS,Rising Star,Hudson Soft,2008.0,0.02
17449,Bridge Constructor Portal,bridge-constructor-portal,XOne,Nighthawk Interactive,ClockStone,2018.0,0.02
17450,Vampire Mansion: Linda Hyde,vampire-mansion-linda-hyde,DS,,Easy Interactive,2011.0,0.02
17451,RayCrisis: Series Termination,raycrisis-series-termination,PS,Working Designs,Taito Corporation,2000.0,0.02
17452,DiRT,dirt,PC,Codemasters,Codemasters,2007.0,0.02
17453,Indianapolis 500 Evolution,indianapolis-500-evolution,X360,Destineer,Brain in a Jar,2009.0,0.02
17454,Spirits and Demons: 5 Game Pack,spirits-and-demons-5-game-pack,PC,Focus Multimedia,,2015.0,0.02
17455,Blade Strangers,blade-strangers,PS4,Nicalis,Studio Saizensen,2018.0,0.02
17456,Ikki Tousen: Shining Dragon,ikki-tousen-shining-dragon,PS2,,Marvelous,2020.0,0.02
17457,"Warhammer 40,000: Inquisitor - Martyr","000 inquisitor - martyr""",PS4,Neocore Games,Neocore Games,2018.0,0.02
17458,Kimi ga Aruji de Shitsuji ga Ore de: Oshie Nikki,kimi-ga-aruji-de-shitsuji-ga-ore-de-oshie-nikki,PS2,Minato Station,Minato Station,2008.0,0.02
17459,Toxic Grind,toxic-grind,XB,THQ,Blue Shift,2002.0,0.02
17460,American McGee presents ScrapLand,american-mcgee-presents-scrapland,XB,Enlight,Mercury Steam Entertainment,2005.0,0.02
17461,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable,daito-giken-koushiki-pachi-slot-simulator-hihouden-fuujirareta-megami-portable,PSP,Paon,Paon Corporation,2011.0,0.02
17462,Enchanted Arms (jp sales),enchanted-arms-jp-sales,X360,Ubisoft,From Software,2006.0,0.02
17463,Katen no Hana,katen-no-hana,PSP,Tecmo Koei,,2013.0,0.02
17464,Serious Sam HD: The First and Second Encounters,serious-sam-hd-the-first-and-second-encounters,X360,Mastertronic,Croteam,2011.0,0.02
17465,Harukanaru Toki no Naka de 3 with Izayoiki Aizouban,harukanaru-toki-no-naka-de-3-with-izayoiki-aizouban,PSP,KOEI,Koei,2009.0,0.02
17466,Pharaoh,pharaoh,PC,Sierra Entertainment,Impressions Games,1999.0,0.02
17467,Quantum Break,quantum-break,PC,THQ Nordic,Remedy Entertainment,2016.0,0.02
17468,Star Trek Online,star-trek-online,PC,Atari,Cryptic Studios,2010.0,0.02
17469,Rugby League Live 4,rugby-league-live-4,XOne,Tru Blu Entertainment,Big Ant Studios,2017.0,0.02
17470,D.Gray-man: Sousha no Shikaku,dgray-man-sousha-no-shikaku,PS2,Konami,Konami,2008.0,0.02
17471,Ookami to Koushinryou: Omiowataru Kaze,ookami-to-koushinryou-omiowataru-kaze,DS,ASCII Media Works,ASCII Media Works,2009.0,0.02
17472,Sniper Elite V2,sniper-elite-v2,WiiU,505 Games,Rebellion Developments,2013.0,0.02
17473,ABZU,abzu,XOne,505 Games,Giant Squid Studios,2017.0,0.02
17474,Big Buck Hunter Arcade,big-buck-hunter-arcade,PS4,GameMill Entertainment,GameMill Entertainment,2017.0,0.02
17475,F1 Race Stars,f1-race-stars,PC,Codemasters,Codemasters Birmingham,2012.0,0.02
17476,Pharaonic,pharaonic,XOne,Soedesco,Milkstone Studios,2017.0,0.02
17477,Motto! SoniComi,motto-sonicomi,PS3,Kadokawa Games,,2014.0,0.02
17478,School Days LxH,school-days-lxh,PS2,Interchannel,0verflow,2008.0,0.02
17479,ATV Drift & Tricks,atv-drift-amp-tricks,XOne,Microids,Artefacts Studio,2018.0,0.02
17480,Cities XL 2011,cities-xl-2011,PC,Focus Home Interactive,Monte Cristo Multimedia,2010.0,0.02
17481,Yuukyuu no Tierblade: Lost Chronicle,yuukyuu-no-tierblade-lost-chronicle,PSV,Idea Factory,,2016.0,0.02
17482,Big Idea's VeggieTales: LarryBoy and the Bad Apple,big-ideas-veggietales-larryboy-and-the-bad-apple,PS2,Crave Entertainment,Papaya Studios,2006.0,0.02
17483,Neo Angelique,neo-angelique,PS2,KOEI,Koei,2006.0,0.02
17484,Zumba Fitness: World Party,zumba-fitness-world-party,X360,Majesco Entertainment,Zoe Mode,2006.0,0.02
17485,Titan Quest,titan-quest,XOne,THQ Nordic,THQ Nordic,2018.0,0.02
17486,Namco Museum Battle Collection (JP sales),namco-museum-battle-collection-jp-sales,PSP,Namco,Namco Tales Studio,2005.0,0.02
17487,Stronghold Crusader Extreme,stronghold-crusader-extreme,PC,Gamecock,FireFly Studios,2008.0,0.02
17488,Brandish: The Dark Revenant,brandish-the-dark-revenant,PSP,Falcom Corporation,Nihon Falcom Corporation,2009.0,0.02
17489,Chaos;Head Noah,chaoshead-noah,PSP,5pb,Genterprise,2010.0,0.02
17490,Samurai Shodown V,samurai-shodown-v,XB,SNK Playmore,Yuki Enterprise,2006.0,0.02
17491,Summon Night: Swordcraft Story,summon-night-swordcraft-story,GBA,Atlus,Flight-Plan,2006.0,0.02
17492,Akogare Girls Collection: Pika Pika Nurse Monogatari - Shounika Haitsumo Oosawagi,akogare-girls-collection-pika-pika-nurse-monogatari-shounika-haitsumo-oosawagi,DS,Nippon Columbia,Nippon Columbia,2016.0,0.02
17493,PuraMai Wars V,puramai-wars-v,PSV,,,2016.0,0.02
17494,Fishdom 2 Deluxe,fishdom-2-deluxe,PC,Rondomedia,Playrix Entertainment,2010.0,0.02
17495,Geometry Wars 3: Dimensions Evolved,geometry-wars-3-dimensions-evolved,XOne,Activision,,2016.0,0.02
17496,Minna no Chizu 2,minna-no-chizu-2,PSP,Zenrin,Zenrin,2007.0,0.02
17497,Pro Fishing Challenge,pro-fishing-challenge,XB,Atlus,Opus Studio,2004.0,0.02
17498,Franklin's Great Adventures,franklins-great-adventures,DS,Game Factory,Neko Entertainment,2006.0,0.02
17499,Geten no Hana with Yume Akari: Aizouban,geten-no-hana-with-yume-akari-aizouban,PSV,Tecmo Koei,,2016.0,0.02
17500,Princess Saver! Eternal Love for My Lady,princess-saver-eternal-love-for-my-lady,PS2,Comfort,Ricotta,2010.0,0.02
17501,Ice Age: Dawn of the Dinosaurs,ice-age-dawn-of-the-dinosaurs,PC,Activision,Eurocom Entertainment Software,2009.0,0.02
17502,Jitsumei Jikkyou Keiba Dream Classic 2002,jitsumei-jikkyou-keiba-dream-classic-2002,PS2,Bandai,Bandai,2002.0,0.02
17503,To Love-Ru Trouble: Darkness - True Princess,to-love-ru-trouble-darkness-true-princess,PSV,FuRyu Corporation,,2015.0,0.02
17504,Tokyo Mew Mew,tokyo-mew-mew,PS,Takara,Takara,2002.0,0.02
17505,Interactive Storybook DS Series 3,interactive-storybook-ds-series-3,DS,Tommo,Tommo,2007.0,0.02
17506,Kawasaki Jet Ski,kawasaki-jet-ski,Wii,Destineer,Data Design Interactive,2008.0,0.02
17507,Moujuutsukai to Oujisama: Snow Bride Portable,moujuutsukai-to-oujisama-snow-bride-portable,PSP,Idea Factory,,2012.0,0.02
17508,Twinkle * Crusaders GoGo!,twinkle-crusaders-gogo,PSP,ASCII Media Works,ASCII Media Works,2010.0,0.02
17509,Ceville,ceville,PC,Kalypso,Realmforge Studios,2009.0,0.02
17510,Europa Universalis III Complete,europa-universalis-iii-complete,PC,Paradox Interactive,Paradox Interactive,2008.0,0.02
17511,Rule of Rose,rule-of-rose,PS2,Atlus,Punchline / Shirogumi,2006.0,0.02
17512,Override: Mech City Brawl,override-mech-city-brawl,XOne,Modus Games,The Balance Inc,2018.0,0.02
17513,Resident Evil: Revelations,resident-evil-revelations,XOne,Capcom,Capcom,2017.0,0.02
17514,RedCard 20-03,redcard-20-03,GC,Midway Games,Point of View,2002.0,0.02
17515,Freestyle Metal X,freestyle-metal-x,XB,Midway Games,Deibus Studios,2003.0,0.02
17516,Sousaku Alice to Oujisama!,sousaku-alice-to-oujisama,3DS,Happinet,Happinet,2015.0,0.02
17517,Space Hulk Tactics,space-hulk-tactics,PS4,Focus Home Interactive,Cyanide,2018.0,0.02
17518,The Professor's Brain Trainer: Logic,the-professors-brain-trainer-logic,DS,505 Games,Interchannel,2006.0,0.02
17519,The Guided Fate: Cross Thesis Awakening,the-guided-fate-cross-thesis-awakening,PS3,NIS America,,2015.0,0.02
17520,Monster High 13 Wishes,monster-high-13-wishes,WiiU,Little Orbit,Little Orbit,2013.0,0.02
17521,Shonen Jump's One Piece: Grand Adventure,shonen-jumps-one-piece-grand-adventure,PS2,Namco Bandai,Ganbarion,2006.0,0.02
17522,Tom Clancy's Rainbow Six: Vegas 2,tom-clancys-rainbow-six-vegas-2,PC,Ubisoft,Ubisoft Montreal,2008.0,0.02
17523,Collar x Malice: Unlimited,collar-x-malice-unlimited,PSV,Idea Factory,Idea Factory,2018.0,0.02
17524,Pac-Man World Rally,pac-man-world-rally,PS2,Namco Bandai,Smart Bomb Interactive,2006.0,0.02
17525,The Legend of Heroes: Trails of Cold Steel II Kai - The Erebonian Civil War,the-legend-of-heroes-trails-of-cold-steel-ii-kai-the-erebonian-civil-war,PS4,Xseed Games,Nihon Falcom Corporation,2019.0,0.02
17526,Rugby League Team Manager 2015,rugby-league-team-manager-2015,PC,Alternative Software,Alternative Software,2015.0,0.02
17527,Broken Sword 5: The Serpent's Curse,broken-sword-5-the-serpents-curse,XOne,Revolution Software,Revolution Software,2015.0,0.02
17528,Natalie Brooks: Mystery at Hillcrest High,natalie-brooks-mystery-at-hillcrest-high,DS,Licensed 4U,,2012.0,0.02
17529,Uta Kumi 575,uta-kumi-575,PSV,Sega,,2014.0,0.02
17530,Hoshiori Yume Mirai: Converted Edition,hoshiori-yume-mirai-converted-edition,PSV,Prototype,,2016.0,0.02
17531,Tropico 4: Modern Times,tropico-4-modern-times,PC,Kalypso Media,,2012.0,0.02
17532,Mind Your Language: Learn English! / French! / German! / Spanish! /Japanese!,mind-your-language-learn-english,DS,PlayV,PlayV,2009.0,0.02
17533,428: Fuusa Sareta Shibuya de,428-fuusa-sareta-shibuya-de,PS3,Spike,ChunSoft,2009.0,0.02
17534,Kung Fu Panda,kung-fu-panda,PC,Activision,Beenox,2008.0,0.02
17535,Hisshou Pachinko * Pachi-Slot Kouryaku Series Portable Vol. 2: CR Evangelion - Hajimari no Fukuin,hisshou-pachinko-pachi-slot-kouryaku-series-portable-vol-2-cr-evangelion-hajimari-no-fukuin,PSP,D3 Publisher,D3 Publisher,2010.0,0.02
17536,Brothers in Arms: Hell's Highway,brothers-in-arms-hells-highway,PC,Ubisoft,Gearbox Software,2008.0,0.02
17537,Rugby World Cup 2015,rugby-world-cup-2015,XOne,Big Ben Interactive,HB Studios,2015.0,0.02
17538,Abunai: Koi no Sousa Shitsu,abunai-koi-no-sousa-shitsu,PSV,Asgard,,2015.0,0.02
17539,NFL Blitz Pro,nfl-blitz-pro,GC,Midway Games,Point of View,2003.0,0.02
17540,The Crew: Wild Run,the-crew-wild-run,XOne,Ubisoft,Ivory Tower,2015.0,0.02
17541,Sangoku Koi Senki: Omoide Gaeshi - CS Edition,sangoku-koi-senki-omoide-gaeshi-cs-edition,PSV,Prototype,,2016.0,0.02
17542,Date A Live: Arusu Install,date-a-live-arusu-install,PS3,Compile Heart,,2014.0,0.02
17543,Commandos: Strike Force,commandos-strike-force,XB,Eidos Interactive,Pyro Studios,2006.0,0.02
17544,Warriors of the Lost Empire (JP sales),warriors-of-the-lost-empire-jp-sales,PSP,UFO Interactive,Goshow,2007.0,0.02
17545,Jojo's Bizarre Adventure,jojos-bizarre-adventure,PS,Capcom,Capcom,2000.0,0.02
17546,Let's Play Flight Attendant,lets-play-flight-attendant,DS,Deep Silver,Zig Zag,2010.0,0.02
17547,Lode Runner,lode-runner,DS,Hudson Entertainment,Hudson Soft,2006.0,0.02
17548,18 Wheels of Steel: Extreme Trucker,18-wheels-of-steel-extreme-trucker,PC,ValuSoft,SCS Software,2009.0,0.02
17549,Evolution Snowboarding,evolution-snowboarding,PS2,Konami,Konami Computer Entertainment Osaka,2002.0,0.02
17550,Mario Tennis,mario-tennis,3DS,Nintendo,Camelot Software Planning,2002.0,0.02
17551,Zathura,zathura,XB,2K Games,High Voltage Software,2005.0,0.02
17552,Jissen Pachinko Hisshouhou! CR Sakura Taisen,jissen-pachinko-hisshouhou-cr-sakura-taisen,PS2,Sega,Sammy Studios,2007.0,0.02
17553,Falcon 4.0: Allied Force,falcon-40-allied-force,PC,Graphsim Entertainment,Lead Pursuit,2005.0,0.02
17554,GT Legends,gt-legends,PC,Viva Media,SimBin,2006.0,0.02
17555,Triple Crown Championship Snowboarding,triple-crown-championship-snowboarding,Wii,Destineer,,2010.0,0.02
17556,Need for Speed: Payback,need-for-speed-payback,PC,Electronic Arts,Ghost Games,2017.0,0.02
17557,Saint,saint,Wii,UFO Interactive,Starfish SD,2009.0,0.02
17558,Super Nazo Puyo Tsuu: Ruruu no Tetsuwan Hanjyouki,super-nazo-puyo-tsuu-ruruu-no-tetsuwan-hanjyouki,SNES,Compile,Compile,1996.0,0.02
17559,Warriors Orochi 2,warriors-orochi-2,X360,Tecmo Koei,Omega Force,2012.0,0.02
17560,Zillions of Enemy X: Zetsukai no Crusade,zillions-of-enemy-x-zetsukai-no-crusade,PS3,Nippon Ichi Software,,2013.0,0.02
17561,Castlevania: Lords of Shadow - Reverie,castlevania-lords-of-shadow-reverie,XBL,Konami,Mercury Steam,2011.0,0.02
17562,Plants vs Zombies: Garden Warfare,plants-vs-zombies-garden-warfare,PC,Electronic Arts,PopCap Games,2014.0,0.02
17563,Happiness! De-Lucks,happiness-de-lucks,PS2,Marvelous Interactive,Marvelous Interactive,2007.0,0.02
17564,SaGa: Scarlet Grace,saga-scarlet-grace,NS,Square Enix,Square Enix,2018.0,0.02
17565,Yunohana Spring! Cherishing Time,yunohana-spring-cherishing-time,PSV,Idea Factory,Idea Factory,2016.0,0.02
17566,Doki Majo Plus,doki-majo-plus,DS,SNK Playmore,SNK Playmore Corporation,2009.0,0.02
17567,Steins;Gate Elite,steinsgate-elite,NS,Spike Chunsoft,5pb. Inc.,2019.0,0.02
17568,Eureka Seven Vol. 2: The New Vision,eureka-seven-vol-2-the-new-vision,PS2,Namco Bandai,Namco Bandai Games America,2007.0,0.02
17569,Love Once: Mermaid's Tears,love-once-mermaids-tears,PS3,,Silicon Studio,2011.0,0.02
17570,Prison Architect,prison-architect,XOne,Introversion Software,Introversion Software,2016.0,0.02
17571,Puzzle Challenge: Crosswords and More!,puzzle-challenge-crosswords-and-more,PS2,Crave Entertainment,Supersonic Software,2006.0,0.02
17572,Geon Cube,geon-cube,Wii,UFO Interactive,Strawdog Studios Ltd.,2009.0,0.02
17573,Muppets Party Cruise,muppets-party-cruise,GC,TDK Mediactive,Mass Media,2003.0,0.02
17574,"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike"," sakini ike""",PSP,D3 Publisher,D3 Publisher,2009.0,0.02
17575,South Park: The Stick of Truth,south-park-the-stick-of-truth,XOne,Ubisoft,Obsidian Entertainment,2018.0,0.02
17576,428: Shibuya Scramble,428-shibuya-scramble,PS4,Spike Chunsoft,Abstraction Games,2018.0,0.02
17577,Dance with Devils,dance-with-devils,PSV,,,2018.0,0.02
17578,Shippuu Mahou Daisakusen: Kingdom-Grandprix,shippuu-mahou-daisakusen-kingdom-grandprix,SAT,Gaga,Eighting/Raizing,1996.0,0.02
17579,Yamasa Digi Portable: Matsuri no Tatsujin - Win-Chan no Natsumatsuri,yamasa-digi-portable-matsuri-no-tatsujin-win-chan-no-natsumatsuri,PSP,Yamasa Entertainment,Yamasa Entertainment,2006.0,0.02
17580,Dungeons 2,dungeons-2,PS4,Kalypso Media,Realmforge Studios,2016.0,0.02
17581,Quiz Present Variety Q-Sama!! DS: Pressure Study x Atama Gai Kunaru Drill SP,quiz-present-variety-q-sama-ds-pressure-study-x-atama-gai-kunaru-drill-sp,DS,Plenty,Plenty,2011.0,0.02
17582,Dream Chronicles,dream-chronicles,DS,Zoo Games,Kat Games,2010.0,0.02
17583,Heart no Kuni no Alice Anniversary Ver.: Wonderful Wonder World,heart-no-kuni-no-alice-anniversary-ver-wonderful-wonder-world,PSP,Quinrose,QuinRose,2011.0,0.02
17584,Serious Sam: Next Encounter,serious-sam-next-encounter,GC,Global Star Software,Climax Group,2004.0,0.02
17585,Casper's Scare School: Classroom Capers,caspers-scare-school-classroom-capers,DS,Crave Entertainment,Nikitova Games,2010.0,0.02
17586,PachiPara 15: Super Umi Monogatari in Okinawa 2,pachipara-15-super-umi-monogatari-in-okinawa-2,PS3,Irem Software Engineering,Irem Software Engineering,2010.0,0.02
17587,The Settlers IV,the-settlers-iv,PC,Blue Byte,Blue Byte,2001.0,0.02
17588,Sengoku Hime 3: Tenka o Kirisaku Hikari to Kage,sengoku-hime-3-tenka-o-kirisaku-hikari-to-kage,PSP,SystemSoft,,2001.0,0.02
17589,Akai Ito DS,akai-ito-ds,DS,Alchemist,Alchemist,2008.0,0.02
17590,Knight's Apprentice: Memorick's Adventures,knights-apprentice-memoricks-adventures,XB,XS Games,Microids,2004.0,0.02
17591,Natsuiro no Sunadokei,natsuiro-no-sunadokei,PS2,Princess Soft,Princess Soft,2002.0,0.02
17592,Jissen Pachi-Slot Hisshouhou! Mister Magic Neo,jissen-pachi-slot-hisshouhou-mister-magic-neo,PS2,Sega,Sammy Studios,2007.0,0.02
17593,SimCity Societies,simcity-societies,PC,Electronic Arts,Tilted Mill Entertainment,2007.0,0.02
17594,Bara ni Kakusareshi Verite,bara-ni-kakusareshi-verite,PSV,Idea Factory,,2016.0,0.02
17595,Freedom Wings,freedom-wings,DS,Natsume,BELUGA Computer Inc.,2006.0,0.02
17596,Steal Princess,steal-princess,DS,Atlus,Climax Entertainment,2009.0,0.02
17597,Ballblazer Champions,ballblazer-champions,PS,LucasArts,Factor 5,1997.0,0.02
17598,Military History: Commander - Europe at War,military-history-commander-europe-at-war,PSP,Slitherine Software,Impressionware SRL,2009.0,0.02
17599,Koisuru Otome to Shugo no Tate: The Shield of AIGIS,koisuru-otome-to-shugo-no-tate-the-shield-of-aigis,PS2,Alchemist,Alchemist,2008.0,0.02
17600,Quake 4,quake-4,PC,Activision,id Software / Raven Software,2005.0,0.02
17601,Galaxy Angel II: Eigou Kaiki no Koku,galaxy-angel-ii-eigou-kaiki-no-koku,PS2,Broccoli,Broccoli,2009.0,0.02
17602,Genroh,genroh,PSP,Idea Factory,,2012.0,0.02
17603,Left 4 Dead,left-4-dead,PC,Valve Corporation,Valve Software,2008.0,0.02
17604,Moujuutsukai to Oujisama Portable,moujuutsukai-to-oujisama-portable,PSP,Idea Factory,Idea Factory,2011.0,0.02
17605,Indigo Prophecy,indigo-prophecy,PC,Atari,Quantic Dream,2005.0,0.02
17606,Iron Phoenix,iron-phoenix,XB,Sega,InterServ International,2005.0,0.02
17607,Otome wa Oanesama Boku ni Koi Shiteru Portable,otome-wa-oanesama-boku-ni-koi-shiteru-portable,PSP,Alchemist,Alchemist,2010.0,0.02
17608,Discovery Kids: Snake Safari,discovery-kids-snake-safari,DS,505 Games,505 Games,2010.0,0.02
17609,The Dwarves,the-dwarves,XOne,THQ Nordic,KING Art Games,2016.0,0.02
17610,Fritz Chess,fritz-chess,Wii,Deep Silver,Gammick Entertainment,2009.0,0.02
17611,Heavy Fire: The Chosen Few 3D,heavy-fire-the-chosen-few-3d,3DS,Mastiff,Mastiff,2011.0,0.02
17612,Kannou Mukashi Banashi Portable,kannou-mukashi-banashi-portable,PSP,Idea Factory,,2012.0,0.02
17613,Kuon,kuon,PS2,Agetec,From Software,2004.0,0.02
17614,Tennis no Oji-Sama: Driving Smash! Side King,tennis-no-oji-sama-driving-smash-side-king,DS,Konami,Konami,2008.0,0.02
17615,Umineko no Naku Koro ni: Majo to Suiri no Rinbukyoku,umineko-no-naku-koro-ni-majo-to-suiri-no-rinbukyoku,PS3,Alchemist,Alchemist,2010.0,0.02
17616,Brothers Conflict: Precious Baby,brothers-conflict-precious-baby,PSV,Idea Factory,,2017.0,0.02
17617,Fritz Chess,fritz-chess,DS,Deep Silver,ShanBlue,2009.0,0.02
17618,Minecraft: Story Mode - Season Two,minecraft-story-mode-season-two,PC,Telltale Games,Telltale Games,2017.0,0.02
17619,UnchainBlades EXXiV,unchainblades-exxiv,3DS,FuRyu Corporation,,2012.0,0.02
17620,Carmen Sandiego: The Secret of the Stolen Drums,carmen-sandiego-the-secret-of-the-stolen-drums,GC,BAM! Entertainment,Artificial Mind and Movement,2004.0,0.02
17621,Test Drive Unlimited,test-drive-unlimited,PC,Atari,Eden Studios,2007.0,0.02
17622,Dragon's Lair,dragons-lair,DS,Destineer,United Coders,2010.0,0.02
17623,Sid Meier's Civilization Revolution 2+,sid-meiers-civilization-revolution-2,PSV,Take-Two Interactive,,2015.0,0.02
17624,Ferrari Challenge Trofeo Pirelli Deluxe,ferrari-challenge-trofeo-pirelli-deluxe,Wii,System 3 Arcade Software,Eutechnyx,2009.0,0.02
17625,Ride 2,ride-2,PC,Milestone S.r.l,Milestone S.r.l.,2016.0,0.02
17626,Dies Irae: Amantes Amentes,dies-irae-amantes-amentes,PSP,Views,,2012.0,0.02
17627,Mind over Matter,mind-over-matter,DS,505 Games,505 Games,2010.0,0.02
17628,Puyo Puyo! 15th Anniversary,puyo-puyo-15th-anniversary,PSP,Sega,Sega,2007.0,0.02
17629,Tom Clancy's EndWar,tom-clancys-endwar,PC,Ubisoft,Ubisoft Shanghai,2009.0,0.02
17630,The Idolmaster: Gravure For You! Vol.9,the-idolmaster-gravure-for-you-vol9,PS3,Namco Bandai Games,,2012.0,0.02
17631,Frontlines: Fuel of War,frontlines-fuel-of-war,PC,THQ,Kaos Studios,2008.0,0.02
17632,I Doll U,i-doll-u,PSV,Idea Factory,Idea Factory,2015.0,0.02
17633,Ryu-Koku,ryu-koku,PS2,KID,KID Corporation,2006.0,0.02
17634,Group S Challenge,group-s-challenge,XB,Capcom,Capcom,2003.0,0.02
17635,GunParade Orchestra: Midori no Shou,gunparade-orchestra-midori-no-shou,PS2,Sony Computer Entertainment,Alfa System,2006.0,0.02
17636,Maji de Manabu: LEC de Ukaru - DS Hishou Boki 3-Kyuu,maji-de-manabu-lec-de-ukaru-ds-hishou-boki-3-kyuu,DS,Square Enix,Square Enix,2008.0,0.02
17637,Veggy World,veggy-world,DS,Jack of All Games,Rhino Studios,2011.0,0.02
17638,Neo Atlas 1469,neo-atlas-1469,PSV,ArtDink,ArtDink,2016.0,0.02
17639,Bejeweled 2 Deluxe,bejeweled-2-deluxe,PC,PopCap Games,PopCap Games,2006.0,0.02
17640,Balls of Fury,balls-of-fury,Wii,DSI Games,Black Lantern Studios,2007.0,0.02
17641,CV Casting Voice,cv-casting-voice,PS3,Namco Bandai Games,,2014.0,0.02
17642,Disney's Meet the Robinsons,disneys-meet-the-robinsons,DS,Disney Interactive Studios,Altron,2007.0,0.02
17643,Grey's Anatomy: The Video Game,greys-anatomy-the-video-game,PC,Ubisoft,Longtail Studios,2009.0,0.02
17644,Serious Sam HD: Gold Edition,serious-sam-hd-gold-edition,PC,Devolver Digital,Croteam,2010.0,0.02
17645,Shooter: Starfighter Sanvein,shooter-starfighter-sanvein,PS,A1 Games,Success,2001.0,0.02
17646,PriministAr,priministar,PSV,Entergram,,2016.0,0.02
17647,X3: Terran War Pack,x3-terran-war-pack,PC,Deep Silver,,2012.0,0.02
17648,Sakura Wars 1 & 2,sakura-wars-1-amp-2,PSP,Sega,Sega,2006.0,0.02
17649,Mount & Blade,mount-amp-blade,PC,Paradox Interactive,Taleworlds,2008.0,0.02
17650,Undertale,undertale,NS,04-Aug,Toby Fox,2018.0,0.02
17651,Crystar,crystar,PS4,Spike Chunsoft,FuRyu,2019.0,0.02
17652,Flipping Death,flipping-death,PS4,Rising Star,Zoink Games,2018.0,0.02
17653,Grisaia no Rakuen: Le Eden de la Grisaia,grisaia-no-rakuen-le-eden-de-la-grisaia,PSV,Prototype,Prototype,2014.0,0.02
17654,Tricky Towers,tricky-towers,PS4,Soedesco,WeirdBeard,2017.0,0.02
17655,Terminator 3: The Redemption,terminator-3-the-redemption,GC,Atari,Paradigm Entertainment,2004.0,0.02
17656,This Is the Police 2,this-is-the-police-2,PS4,THQ Nordic,Weappy Studio,2018.0,0.02
17657,Unreal Anthology,unreal-anthology,PC,Midway Games,Epic Games,2006.0,0.02
17658,Tengen Toppa Gurren-Lagann,tengen-toppa-gurren-lagann,DS,Konami,Konami,2007.0,0.02
17659,Pebble Beach Golf Links,pebble-beach-golf-links,SAT,Sega,Tikipod,1995.0,0.02
17660,Sugoi Hebereke,sugoi-hebereke,SNES,Sunsoft,SunSoft,1994.0,0.02
17661,The Liar Princess and the Blind Prince,the-liar-princess-and-the-blind-prince,PS4,NIS America,Nippon Ichi Software,2019.0,0.02
17662,Dakar 2: The World's Ultimate Rally,dakar-2-the-worlds-ultimate-rally,XB,Acclaim Entertainment,Acclaim Studios Cheltenham,2003.0,0.02
17663,The Sims: Complete Collection,the-sims-complete-collection,PC,Electronic Arts,Maxis,2005.0,0.02
17664,Higurashi Daybreak Portable Mega Edition,higurashi-daybreak-portable-mega-edition,PSP,Alchemist,Alchemist,2009.0,0.02
17665,Spider-Man: Web of Shadows,spider-man-web-of-shadows,PC,Activision,Shaba Games / Treyarch,2008.0,0.02
